# Frequency                gain                      delta_phi                
5.087731331237067707e+02 4.744776277709706336e-01 2.715077942062724681e-01
5.088943757146935809e+02 4.756135518452987432e-01 2.712152258888824718e-01
5.090156471982553512e+02 4.760667344377596533e-01 2.689958960732887761e-01
5.091369475812772407e+02 4.756536941341865110e-01 2.652498359647754711e-01
5.092582768706461138e+02 4.762403498351199249e-01 2.649366268576733852e-01
5.093796350732504834e+02 4.756829190838684496e-01 2.633583910266485972e-01
5.095010221959805108e+02 4.756625637950661067e-01 2.618755858023020799e-01
5.096224382457282900e+02 4.759700604268493063e-01 2.600395454557014041e-01
5.097438832293865403e+02 4.768144521727647467e-01 2.566001772627681810e-01
5.098653571538505958e+02 4.772442807883195970e-01 2.557994805896313117e-01
5.099868600260172116e+02 4.767189316596657234e-01 2.529012509778953977e-01
5.101083918527848482e+02 4.766980319480775830e-01 2.525016116697420543e-01
5.102299526410533304e+02 4.781415461633094499e-01 2.504065493435461143e-01
5.103515423977244154e+02 4.772708248421628219e-01 2.502167372635297760e-01
5.104731611297013387e+02 4.771201554013791424e-01 2.474001068263627090e-01
5.105948088438889840e+02 4.771928513763245006e-01 2.452580431570865471e-01
5.107164855471944520e+02 4.778458133992730117e-01 2.431482109551770243e-01
5.108381912465250139e+02 4.775255792164809221e-01 2.434058865394619353e-01
5.109599259487910103e+02 4.781557817793389842e-01 2.388405146166934223e-01
5.110816896609039759e+02 4.786688969431208696e-01 2.389341707624952349e-01
5.112034823897769797e+02 4.787368021112027860e-01 2.360214337885642166e-01
5.113253041423249101e+02 4.792773025965397227e-01 2.354801244386264258e-01
5.114471549254641900e+02 4.786527536761025492e-01 2.341431774413917921e-01
5.115690347461128908e+02 4.791341590644808690e-01 2.303184464980838619e-01
5.116909436111908462e+02 4.791940335720222821e-01 2.306684035365713648e-01
5.118128815276198225e+02 4.796441460573954707e-01 2.276210836320577968e-01
5.119348485023219837e+02 4.790911550016210829e-01 2.261961817657183182e-01
5.120568445422225068e+02 4.792467257677693881e-01 2.232603152728054319e-01
5.121788696542477055e+02 4.801161914406909537e-01 2.219204842372457520e-01
5.123009238453256557e+02 4.794165996322841128e-01 2.216018553573211314e-01
5.124230071223859113e+02 4.796474054634953244e-01 2.193573501151693250e-01
5.125451194923597313e+02 4.803963015240106937e-01 2.177571011730057293e-01
5.126672609621803076e+02 4.802692614946273975e-01 2.152770038358795546e-01
5.127894315387819688e+02 4.806580099836910147e-01 2.146173192639770910e-01
5.129116312291015447e+02 4.805682325462064530e-01 2.122010956010456084e-01
5.130338600400760924e+02 4.801335689536250784e-01 2.091639167561529788e-01
5.131561179786456250e+02 4.801971466148226009e-01 2.086672466112489133e-01
5.132784050517511787e+02 4.807072038421185134e-01 2.064788627429821055e-01
5.134007212663358359e+02 4.798363235678182459e-01 2.036306121788955537e-01
5.135230666293440436e+02 4.806321916805458283e-01 2.045912553694582137e-01
5.136454411477219537e+02 4.809913118803508802e-01 1.999959400467608006e-01
5.137678448284174237e+02 4.815893225242683373e-01 1.979298482795108782e-01
5.138902776783800164e+02 4.812905664044748177e-01 1.992046076734568238e-01
